순위,성명,팀,포지션,G,PA,AB,H,HR,RBI,SB,AVG,OBP,SLG,OPS,wRC+,WAR
1,문현빈,한화,LF,35,167,138,44,7,28,2,0.319,0.437,0.572,1.009,179.3,2.59
2,박성한,SSG,SS,37,171,138,53,3,27,5,0.384,0.491,0.536,1.027,183.1,2.59
3,오스틴,LG,1B,37,174,155,58,9,32,0,0.374,0.437,0.652,1.089,207.8,2.38
4,김도영,KIA,3B,38,165,139,39,12,35,1,0.281,0.388,0.597,0.985,160.8,2.3
5,류지혁,삼성,2B,35,145,125,43,4,26,10,0.344,0.434,0.544,0.978,162.2,2.14
6,박민우,NC,2B,35,150,127,43,1,26,17,0.339,0.433,0.449,0.882,146.7,2.14
7,페라자,한화,RF,37,176,144,49,6,23,5,0.34,0.44,0.535,0.975,167.6,2.05
8,김주원,NC,SS,37,163,140,36,5,12,9,0.257,0.346,0.407,0.753,100.9,1.86
9,최형우,KIA,DH,36,165,129,48,7,28,0,0.372,0.491,0.597,1.088,189.8,1.85
10,박준순,두산,2B,36,154,142,47,5,26,1,0.331,0.383,0.521,0.904,154.1,1.77
11,강백호,KT,DH,37,171,150,50,8,41,0,0.333,0.409,0.56,0.969,162,1.45
12,박찬호,KIA,SS,38,171,144,39,3,13,12,0.271,0.365,0.382,0.747,110.1,1.42
13,최원준,KIA,RF,36,176,149,48,1,18,10,0.322,0.408,0.423,0.831,130.9,1.42
14,정준재,SSG,2B,34,118,98,29,1,15,4,0.296,0.383,0.429,0.812,119.7,1.39
15,레이예스,롯데,LF,36,162,146,50,6,24,1,0.342,0.401,0.534,0.935,144.4,1.32
16,정수빈,두산,CF,37,145,121,32,2,16,8,0.264,0.369,0.355,0.724,108.9,1.23
17,최정,SSG,3B,36,161,131,35,10,24,3,0.267,0.385,0.573,0.958,147.9,1.23
18,힐리어드,삼성,LF,37,166,143,37,9,28,3,0.259,0.337,0.517,0.854,122.4,1.22
19,전민재,두산,SS,35,116,105,30,1,13,4,0.286,0.339,0.352,0.691,81.1,1.2
20,디아즈,삼성,1B,37,167,142,45,5,29,0,0.317,0.401,0.465,0.866,127.8,1.15
